01-01 00:40:45.918  2955  2955 I kernel  : Start to log kernel message
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.418351] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.427713] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.427717] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.427720] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.457711] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.467075] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.467079] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.467082] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.497072] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.506433] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.506437] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.506440] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.536432] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.545793] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.545798] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.545801] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.580769] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.590830] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.590834] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.590837] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.620135] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.630192] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.630196] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.630199] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.669543] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.679168] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.679171] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.679175] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.708903] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.718527] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.718531] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.718534] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.748264] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.757888] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.757891] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.757895] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.787625] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.797251] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.797255] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.797258] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.826989] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.836596] console [ttyS0] enabled
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.836613] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.836617] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.836620] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.855038] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.860488] 4806c000.serial: ttyS1 at MMIO 0x4806c000 (irq = 298, base_baud = 3000000) is a 8250
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.869352] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.873806] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.879528] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.879686] 48020000.serial: ttyS2 at MMIO 0x48020000 (irq = 299, base_baud = 3000000) is a 8250
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.893597] 48066000.serial: ttyS5 at MMIO 0x48066000 (irq = 300, base_baud = 3000000) is a 8250
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.903071] 48424000.serial: ttyS9 at MMIO 0x48424000 (irq = 301, base_baud = 3000000) is a 8250
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.912173] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.917316] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.921771] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.921906] 3000000.serial: ttyS3 at MMIO 0x3000000 (irq = 207, base_baud = 921600) is a TI TL16C75X
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.936674] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.941502] 7000000.serial: ttyS4 at MMIO 0x7000000 (irq = 208, base_baud = 921600) is a TI TL16C75X
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.951674] [drm] Initialized drm 1.1.0 20060810
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.961358] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.966509] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.970920] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.976630] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.984479] brd: module loaded
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.992007] loop: module loaded
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.996866] mtdoops: mtd device (mtddev=name/number) must be supplied
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.003611] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.008784] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.013429] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.019149] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.024098] m25p80 spi32766.0: s25fl129p1 (16384 Kbytes)
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.029474] 7 ofpart partitions found on MTD device spi32766.0
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.035363] Creating 7 MTD partitions on "spi32766.0":
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.040528] 0x000000000000-0x000000080000 : "QSPI.SPL"
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.046172] 0x000000080000-0x000000100000 : "QSPI.u-boot"
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.052150] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.057299] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.061701] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.067418] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.072088] 0x000000fd0000-0x000000fe0000 : "QSPI.denso-primary"
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.078545] 0x000000fe0000-0x000000ff0000 : "QSPI.denso-secondary"
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.085200] 0x000000ff0000-0x000001000000 : "QSPI.denso-readonly"
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.091583] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.096755] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.101178] 0x000000fc0000-0x000000fd0000 : "QSPI.denso-bootflags"
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.101205] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.101210] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <5>[    3.118129] 0x000000000000-0x000000010000 : "QSPI.denso-otp"
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.124086] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.129473] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.134002] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.139770] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.146738] input: gpio_keys_polled as /devices/gpio_keys_polled/input/input1
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.155011] i2c-core: driver [rtc-ds1307] using legacy suspend method
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.161509] i2c-core: driver [rtc-ds1307] using legacy resume method
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.168134] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.173370] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.177747] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.183478] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.188154] omap_rtc 48838000.rtcss: rtc core: registered 48838000.rtcss as rtc0
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.195651] 48838000.rtcss: already running
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.200292] i2c /dev entries driver
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.204352] adv7180: +adv7180_probe()
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.208195] adv7180 0-0021: Manual Detection (MD) chip @ 0x21 (OMAP I2C adapter)
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.216139] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.221441] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.225817] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.231573] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.236230] adv7180 0-0021: __adv7180_status 
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.241951] adv7180 0-0021: adv7180_get_video_std: ADV7180_STATUS1_REG  STATUS1_IN_LOCK=0 ret=0x6a 
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.251404] adv7180 0-0021: adv7180_get_video_std: (ret & ADV7180_STATUS1_AUTOD_MASK) = 0x60 
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.259988] adv7180 0-0021: Camera sensor driver registered
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.265618] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.270792] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.275195] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.275213] GPIO 496 BIT0 was exported
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.284683] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.289340] GPIO 497 BIT1 was exported
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.293808] vpe 489d0000.vpe: loading firmware vpdma-1b8.bin
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.300410] Driver for 1-wire Dallas network protocol.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.306477] coproc iva_coproc: probe
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.310178] Adding alias for supply vdd,iva_coproc -> vdd,4a0025cc.voltdm
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.317180] Adding alias for supply vbb,iva_coproc -> vbb,4a0025cc.voltdm
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.324032] vpe 489d0000.vpe: Device registered as /dev/video0
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.329918] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.335309] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.339687] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.345396] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.350720] coproc iva_coproc: coproc_probe result=0
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.355766] coproc dsp_coproc: probe
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.359424] Adding alias for supply vdd,dsp_coproc -> vdd,4a0025e0.voltdm
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.366272] Adding alias for supply vbb,dsp_coproc -> vbb,4a0025e0.voltdm
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.373362] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.378793] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.383184] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.388867] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.394139] coproc dsp_coproc: coproc_probe result=0
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.402571] omap_wdt: OMAP Watchdog Timer Rev 0x01: initial timeout 60 sec
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.409929] device-mapper: ioctl: 4.27.0-ioctl (2013-10-30) initialised: dm-devel@redhat.com
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.419415] !!!!!!!!!!!!!!!!!!!!!omap_hsmmc_probe called!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.426890] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.432231] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.436630] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.442353] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.461326] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.466469] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.470845] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.476540] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.481243] exiting omap_hsmmc_probe successfully!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.487952] !!!!!!!!!!!!!!!!!!!!!omap_hsmmc_probe called!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.495484] omap_hsmmc 480b4000.mmc: unable to get vmmc regulator -517
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.502169] platform 480b4000.mmc: Driver omap_hsmmc requests probe deferral
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.509419] !!!!!!!!!!!!!!!!!!!!!omap_hsmmc_probe called!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.509423] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.521701] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.526112] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.531857] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.551352] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.556494] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.560870] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.566568] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.591331] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.596467] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.600843] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.606553] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.631313] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.636447] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.640824] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.646605] exiting omap_hsmmc_probe successfully!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.653207] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.658253] omap-aes 4b500000.aes: OMAP AES hw accel rev: 3.3
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.664579] omap-aes 4b700000.aes: OMAP AES hw accel rev: 3.3
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.670927] omap-sham 4b101000.sham: hw accel on OMAP rev 4.3
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.677090] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.682285] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.686700] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.692428] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.697358] hidraw: raw HID events driver (C) Jiri Kosina
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.710021] ion_chunk_heap_create: base 3674210304 size 4194304 align 16384
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.717370] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.717948] mmc1: queuing unknown CIS tuple 0x80 (2 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.720648] mmc1: queuing unknown CIS tuple 0x80 (7 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.723048] mmc1: queuing unknown CIS tuple 0x80 (6 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.732949] mmc1: queuing unknown CIS tuple 0x80 (31 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.735648] mmc1: queuing unknown CIS tuple 0x80 (7 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.743748] mmc1: queuing unknown CIS tuple 0x80 (25 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.751848] mmc1: queuing unknown CIS tuple 0x80 (25 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.761345] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.765759] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.771476] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.771481] ashmem: initialized
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.779842] mmc1: queuing unknown CIS tuple 0x91 (3 bytes)
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.785462] mmc1: new ultra high speed SDR50 SDIO card at address 0001
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.794081]  remoteproc0: 58820000.ipu is available
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.798982]  remoteproc0: Note: remoteproc is still under development and considered experimental.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.807999]  remoteproc0: THE BINARY FORMAT IS NOT YET FINALIZED, and backward compatibility isn't yet guaranteed.
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.818514]  remoteproc0: Direct firmware load failed with error -2
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.824845] hralvds 0-0055: Serializer i2c addr 0xc.
